n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
10000,0.075,0.07,0.055,0.05,0.055
20000,0.145,0.145,0.055,0.035,0.065
30000,0.225,0.235,0.05,0.05,0.1
40000,0.275,0.28,0.055,0.065,0.15
50000,0.41,0.39,0.045,0.04,0.155
60000,0.502,0.58,0.04,0.061,0.213
70000,0.615,0.62,0.045,0.047,0.255
80000,0.704,0.745,0.04,0.052,0.287
90000,0.751,0.79,0.04,0.055,0.349
100000,0.802,0.865,0.055,0.065,0.374
110000,0.83,0.895,0.055,0.063,0.432
120000,0.864,0.935,0.06,0.046,0.497
130000,0.914,0.985,0.065,0.049,0.542
140000,0.932,0.98,0.07,0.054,0.581
150000,0.948,0.99,0.07,0.066,0.633
160000,0.958,0.99,0.085,0.067,0.672
170000,0.995,0.995,0.095,0.069,0.713
180000,0.969,1.0,0.09,0.071,0.762
190000,0.975,1.0,0.08,0.082,0.8
200000,1.0,1.0,0.07,0.07,0.825
