n,genrr_chi,bitflip_projchi,lapu_ell2
1000.0,0.095,0.13,0.095
2000.0,0.21,0.16,0.21
3000.0,0.32,0.235,0.32
4000.0,0.385,0.265,0.385
5000.0,0.415,0.34,0.415
6000.0,0.445,0.475,0.44
7000.0,0.61,0.455,0.61
8000.0,0.67,0.54,0.67
9000.0,0.675,0.535,0.685
10000.0,0.75,0.61,0.75
11000.0,0.725,0.71,0.72
12000.0,0.825,0.755,0.83
13000.0,0.865,0.775,0.865
14000.0,0.88,0.825,0.88
15000.0,0.905,0.81,0.905
16000.0,0.95,0.865,0.95
17000.0,0.96,0.875,0.96
18000.0,0.985,0.87,0.985
19000.0,0.985,0.9,0.98
20000.0,0.985,0.935,0.985
