n, lapu, genrr, bitflip
1.000000000000000000e+01,9.666666666666666463e-02,3.666666666666666685e-02,4.299999999999999933e-01
1.200000000000000000e+01,1.533333333333333215e-01,2.999999999999999889e-02,4.966666666666666452e-01
1.500000000000000000e+01,1.566666666666666763e-01,6.666666666666666574e-02,5.500000000000000444e-01
1.700000000000000000e+01,2.166666666666666741e-01,7.666666666666666075e-02,5.533333333333333437e-01
2.000000000000000000e+01,1.666666666666666574e-01,6.333333333333333870e-02,5.533333333333333437e-01
2.200000000000000000e+01,2.800000000000000266e-01,2.666666666666666838e-02,5.633333333333333526e-01
2.500000000000000000e+01,3.466666666666666785e-01,4.666666666666666879e-02,6.366666666666667140e-01
2.700000000000000000e+01,3.699999999999999956e-01,3.666666666666666685e-02,5.699999999999999512e-01
3.000000000000000000e+01,4.433333333333333570e-01,4.333333333333333481e-02,6.866666666666666474e-01
